T, u[%], delay_bound_ludb_ff, delay_bound_ludb_ff_fp, improvement_overall[%], improvement_variable_part[%]
0.0, 10.0, 0.015578704588394063,0.010316000000000002,33.78140049150626,33.78140049150626
0.0, 20.0, 0.016192277777777778,0.010638000000000002,34.302016393273874,34.302016393273874
0.0, 30.000000000000004, 0.016844376470588236,0.010966000000000002,34.89815417538546,34.89815417538546
0.0, 40.0, 0.01754,0.011300000000000003,35.57582668186999,35.57582668186999
0.0, 50.0, 0.018286476190476193,0.011641000000000002,36.34093371109537,36.34093371109537
0.0, 60.0, 0.019090928571428575,0.011987909090909092,37.206254551440935,37.206254551440935
0.0, 70.0, 0.01996431596736597,0.012341000000000001,38.18470905703545,38.18470905703545
0.0, 80.0, 0.0209205,0.012700000000000001,39.29399392939939,39.29399392939939
0.0, 89.99999999999999, 0.0219759100496278,0.013066000000000001,40.543986708658295,40.543986708658295
0.0, 99.99999999999999, 0.022851750000000004,0.013438000000000002,41.19487566597744,41.19487566597744
0.1, 10.0, 0.43070370458839413,0.415441,3.5436668934575493,49.70965162999704
0.1, 20.0, 0.44669227777777776,0.42113799999999996,5.720778945386345,54.72913079845476
0.1, 30.000000000000004, 0.46296937647058833,0.42709100000000005,7.749621960766465,56.977499987388825
0.1, 40.0, 0.4795400000000001,0.4333000000000001,9.642574133544645,58.134272064370094
0.1, 50.0, 0.49641147619047626,0.43976600000000005,11.410992474465072,58.7538729088268
0.1, 60.0, 0.5135909285714286,0.44648800000000005,13.065442716848164,59.07419669452979
0.1, 70.0, 0.5310893159673661,0.45346600000000004,14.615868486447914,59.2140674429104
0.1, 80.0, 0.5489204999999999,0.4607000000000001,16.071635145708683,59.239997179703174
0.1, 89.99999999999999, 0.5671009100496278,0.468191,17.441324515062416,59.19172434204712
0.1, 99.99999999999999, 0.5853517500000002,0.475939,18.691795147106017,59.02979065479559
10.0, 10.0, 41.528078704588395,40.522816,2.4206819480847455,65.78605549373027
10.0, 20.0, 43.06619227777779,41.060638,4.656911075030561,65.40862725123387
10.0, 30.000000000000004, 44.6293443764706,41.623466,6.735206215700877,64.93097363308003
10.0, 40.0, 46.21754,42.2113,8.668224228290814,64.43448695143093
10.0, 50.0, 47.83078647619048,42.824141,10.467411985129548,63.93541046500499
10.0, 60.0, 49.469090928571426,43.461988000000005,12.143143962853683,63.4390668954923
10.0, 70.0, 51.13246431596737,44.124841,13.704841747240144,62.94763780123942
10.0, 80.0, 52.8209205,44.8127,15.161077134201022,62.46213366661154
10.0, 89.99999999999999, 54.53447591004963,45.525566000000005,16.51965982933277,61.98303926335974
10.0, 99.99999999999999, 56.27285175000001,46.26343899999999,17.787285411566184,61.509887165290564
